date,merchant,amount,category,type
2024-03-01,Stripe Salary,4500.00,Income,Income
2024-03-02,Whole Foods,120.50,Groceries,Expense
2024-03-02,Starbucks,5.40,Food & Dining,Expense
2024-03-03,Uber,15.00,Transportation,Expense
2024-03-04,Netflix,15.99,Subscriptions,Expense
2024-03-05,Amazon,45.00,Shopping,Expense
2024-03-06,Shell,40.00,Transportation,Expense
2024-03-07,Target,89.90,Groceries,Expense
2024-03-08,McDonalds,12.50,Food & Dining,Expense
2024-03-09,PGE,85.00,Utilities,Expense
2024-03-10,Comcast,70.00,Utilities,Expense
2024-03-12,Uber Eats,35.00,Food & Dining,Expense
2024-03-15,Whole Foods,110.00,Groceries,Expense
2024-03-18,Starbucks,6.00,Food & Dining,Expense
2024-03-20,Planet Fitness,20.00,Subscriptions,Expense
2024-03-22,Best Buy,250.00,Shopping,Expense
2024-03-25,Uber,18.00,Transportation,Expense
2024-03-28,Rent,1500.00,Housing,Expense
2024-04-01,Stripe Salary,4500.00,Income,Income
2024-04-02,Whole Foods,115.00,Groceries,Expense
2024-04-04,Netflix,15.99,Subscriptions,Expense
2024-04-05,Starbucks,5.40,Food & Dining,Expense
2024-04-06,Shell,42.00,Transportation,Expense
2024-04-09,PGE,82.00,Utilities,Expense
2024-04-10,Comcast,70.00,Utilities,Expense
2024-04-15,Uber Eats,40.00,Food & Dining,Expense
2024-04-20,Planet Fitness,20.00,Subscriptions,Expense
2024-04-22,Apple Store,1200.00,Shopping,Expense
